User_id,accNr,iban,balance
18,9301078303,AT81 5348 4839 2195 2147,42091468.8475
28,8008268247,HR86 1779 2708 5412 0592 3,57998993.3729
16,6043121193,SI28 3679 0954 6092 580,52600342.0705
30,6035978805,LI75 8456 7DHJ ZM7V 7KHX W,28653518.5458
12,5456528695,RO90 YZSG QAO3 OUGG URU5 G56L,94877239.7776
26,7924293866,PT16 7896 7587 2879 4753 0617 5,83186499.3331
32,9697685541,FR42 9180 6237 79CQ ZUWR 1RUB Q95,3167565.1034
10,9832592450,SM49 H905 6685 0457 ATAK H0TI VP3,4330990.2872
26,8718183302,MK29 992Y 7JR2 IEUH X66,9559615.1601
21,7294501482,LV73 LPQE TQMW DH9X KHJU Z,71855570.6389
16,6503499863,KZ02 552B 2ABV 3ALN ZLO1,43627621.3136
22,8611038974,MT58 YQLU 0320 89GW RVEM ILM7 KHN7 LVF,12671965.829
47,5881626989,ME93 9180 9842 3441 1137 79,91800115.6699
50,8031798950,VG88 KFCO 9501 1333 9337 4124,45148294.6692
38,9888155222,LT35 7386 2912 4449 4151,61567032.6639
9,9126429268,FR18 6682 3688 62IW FZ9Y JIMC Y41,32759003.936
42,7389536813,VG35 ARYZ 3777 8201 0423 4281,77561521.1547
34,5745701037,LB31 5394 IYFG 5JAB F1EG FSVP QTP2,54848869.0173
34,5657689314,FR64 4508 5165 07TQ SAHC 7TXB R13,11568992.3465
11,8074519424,IT09 H065 0515 814Y RMSU BFUG VWL,20017183.5443
41,9072457525,FR50 1478 2008 64EB GA8N EYV2 L79,70872149.1613
46,7279530304,FR87 8878 3607 59NW CBJF UV0W F29,88359149.5884
36,5395891020,SI71 5855 9019 1146 733,11634575.5746
7,7381460738,RO72 PHJZ GKXR YC2I YUGL BUHA,56776245.6117
33,7620841510,LU94 0642 EQ8W HW9A NID2,70142810.9484
10,5178878053,SE34 5663 3178 5004 4037 2654,75126569.113
37,7264334443,GI29 XRNX DZKC TKGA OYVP LAO,94436945.3069
9,7210484192,IL27 4437 1216 7563 8581 172,2355606.077
11,5944079369,FR72 6231 2642 64A5 P18O 9QZO H77,14001795.9463
20,7765316700,FR13 6552 6829 46CC NY5T BOQ1 006,56262358.6537
32,5630168983,FR67 0043 9135 80T8 9CB8 YCPT R34,62823084.5041
46,9882508045,SE74 4262 3793 6462 7670 5027,72678409.5206
16,7844532985,FR33 7645 8434 97F3 LVBJ QMF7 K45,12220639.9733
2,8958697095,AE47 7826 5321 9121 1172 218,56196514.4095
45,6774749101,DO95 7KOO 8245 5252 3295 9793 5063,28449631.0816
33,7607979397,LT17 8570 4826 3135 5476,93158632.0798
41,6647121011,FR60 7333 4579 54F6 QYXF JV3O F32,49803032.3237
3,9971373935,FR67 5826 2126 59JJ 0UAU DOAI D05,95796968.6923
7,7521337916,BG90 GKBW 7240 47OI 1WIQ OD,26072019.9135
27,7867634704,BR32 7331 5310 2511 5556 1494 095X 8,4345021.1052
40,7701433242,FR94 3955 2184 570N M7GX 72JT R98,70398427.9293
41,6448811668,DE48 2442 8508 2840 0594 72,53799913.3231
12,8425484770,AD16 9414 3654 ZUJL 6AHV VQLW,26056157.8468
6,8730757220,LB53 3499 ASPA AFWV LUHM YRW3 LQBP,69367677.6778
21,7110578196,KZ60 160S YUJU X2T2 JQLS,82468661.0812
50,8062509630,IE88 ACRE 2128 6928 8115 19,77954082.8283
26,6598842699,AT33 1046 8258 3546 5255,67909629.7039
24,6198736590,EE31 0201 6134 6431 7057,42233794.6465
5,9706440696,FR86 9091 8069 00W2 UKBQ VC9Z 028,10505218.6259
41,9870702013,AT43 2868 2348 1047 9910,51248389.3377
29,7453542244,BG90 AZLD 2056 54AN D5N9 ZT,53930272.0662
23,9000086630,CH60 1967 2K4U XMXN GO18 6,45788061.1125
46,9728922516,BE34 9547 0972 5751,38414580.0617
39,5460348607,FI48 8027 7439 9603 66,92709251.4779
11,5226705733,FR87 5040 4311 94VO WZWO OOJM X86,90435580.1281
20,9834470545,LI96 0017 4CJF KCBV MN78 F,79430148.5635
7,8000474697,FR11 0112 8129 69LM U4ZZ HVCQ S83,79657165.2089
4,9572877881,BE93 4693 9693 7519,96593565.3368
37,6598893321,LB88 4671 PUTF GTNN MA7H FK9Y A4IX,93205843.852
46,8819155395,ME71 7339 6789 5889 2933 09,77358017.0569
9,5546548128,FR77 3544 8116 55DM IQHL ANDI I67,13395024.5635
47,5357783446,FI04 4131 2000 2791 54,93830091.4949
42,6513584274,GI80 HLSW 5RQW LBAP BGGK Q98,67657386.0743
17,9268563195,MC29 6973 0404 57D0 4RVT SWRY V75,31634090.6762
10,8310817420,AD05 4208 2509 XKT0 NIDC SOQA,41414954.3113
24,9323624755,SI80 5494 0401 7511 794,36033641.1761
10,9658364410,LV72 JPMY MBNN W92Y KAEP G,60243263.5149
37,5310145260,LI46 9981 85NI CHIA 3QTC C,62854967.9665
28,9782655090,AE57 6935 1146 7011 6907 915,73969091.2974
14,9086874634,IL70 9303 1899 7662 7791 866,39439471.4602
17,8902294528,TR46 6798 3GVK ATKT Z96Q 1MDU XE,32387235.0045
15,7687608350,FR85 6177 6871 50CS 4QGY 7K2H A51,38214086.2935
37,6283274546,GL13 5521 4489 7271 98,70215145.3465
2,9684040575,IE06 HATP 4374 0085 5957 59,12355747.5498
37,6473440927,KZ53 016A 7GAK WXXV JE8C,47072.0268
48,6554724046,DE93 7057 6611 3007 5866 52,56705764.5901
25,9553009466,FR72 1077 2227 51RD WWON 8HHE M63,28669744.7991
