Card_Nr,accNr,pin,cvv,valid_Month,valid_Year
5100139325367906,6439630378,9879,813,4,2029
4917710616848808,6895951241,2329,568,9,2023
4175000854405207,6030987317,5559,732,3,2028
5007666786048199,9427731607,5312,729,3,2027
4175008129429704,9099936706,2243,798,10,2030
5570108282392711,9102482978,2087,798,7,2029
4026246525701331,8680397894,7583,958,6,2030
4043699639213,6665590939,5993,599,4,2029
5475201545158676,9139278438,5432,925,11,2026
4590899623514091,8522276822,5564,875,8,2029
4041371367135686,8591919049,1850,671,12,2027
5108755147835846,6699667951,8304,666,5,2025
4017952972739432,7422233777,7208,605,9,2025
4913040712455561,7635183358,4742,768,9,2030
4405777424950083,9395938332,5951,743,3,2026
5100144364407159,8932565692,3778,889,3,2025
4917995686945580,5135584028,5923,901,11,2029
4917328829454411,5178089484,2847,812,9,2028
5002353250473451,5782630887,8669,768,8,2030
4508387009533258,6467888368,8294,878,3,2024
4508139815572297,9301078303,2830,971,9,2027
4041596074455577,8008268247,4340,797,12,2027
4508893403092494,6043121193,5008,564,3,2028
4041599198536058,6035978805,3066,877,5,2030
5598067171496041,5456528695,3102,657,5,2028
4917295786745596,7924293866,1343,648,2,2030
5436393903261958,9697685541,4637,738,6,2025
4041597643664772,9832592450,7870,873,1,2028
4041590316098436,8718183302,8561,971,3,2030
5416725635157976,7294501482,1137,560,10,2025
5100177394823870,6503499863,4889,880,11,2025
5100179480680636,8611038974,4084,689,11,2025
4917961861715784,5881626989,8607,922,7,2028
5010126117849240,8031798950,7976,937,8,2028
5108751477005589,9888155222,4660,984,4,2028
4913839506827780,9126429268,4274,600,10,2026
5539355924755041,7389536813,5295,714,10,2023
4017955064519448,5745701037,4530,971,8,2024
4026990673153023,5657689314,5251,816,9,2025
5100133998724006,8074519424,9420,628,2,2024
4041597651938688,9072457525,8089,960,9,2028
5007666723345195,7279530304,4694,793,9,2027
4913575492226500,5395891020,7756,574,9,2027
4844196280353044,7381460738,2631,657,8,2024
4405012474370648,7620841510,8859,942,11,2025
4844853861283947,5178878053,7616,658,2,2026
4041372977306683,7264334443,3688,863,10,2028
4041374413060,7210484192,3182,775,2,2028
4041590129003,5944079369,3455,689,1,2030
4041378779680,7765316700,9737,836,11,2023
5100134307701719,5630168983,4014,918,11,2027
5002359146933632,9882508045,6646,901,8,2029
5010127910949468,7844532985,3747,967,5,2025
4913360093770390,8958697095,6036,734,5,2023
5007664841622496,6774749101,3417,755,3,2024
5502664136508160,7607979397,4116,760,11,2023
5100148588776802,6647121011,8880,607,11,2024
4041593297515832,9971373935,1838,899,12,2030
5274359483211577,7521337916,3611,621,3,2028
4017956706865,7867634704,1367,918,9,2028
5100131720539023,7701433242,7400,858,11,2028
4405331026689598,6448811668,6221,641,8,2030
4017954635615215,8425484770,4603,590,7,2024
4017957110976,8730757220,6630,623,6,2024
5002355792926912,7110578196,8713,659,7,2023
5108752397452620,8062509630,8821,841,12,2029
5273259402691688,6598842699,3380,700,4,2028
4026760094456846,6198736590,4521,791,5,2029
5010122267121423,9706440696,2112,846,4,2023
4041377526214734,9870702013,6298,588,11,2026
4844318936083086,7453542244,1752,709,11,2027
4017951658117194,9000086630,7371,902,2,2029
4041596101303,9728922516,1313,602,12,2027
4041591155189,5460348607,3121,714,5,2024
4508095062869366,5226705733,7217,759,2,2028
5100177223316518,9834470545,5482,882,5,2027
4956538904599227,8000474697,6433,965,1,2027
4913394998331941,9572877881,2703,635,7,2027
4026493085400314,6598893321,8924,852,12,2028
4917073737150038,8819155395,6541,995,5,2028
5511125397390093,5546548128,4125,859,7,2029
5002358858865693,5357783446,7245,730,5,2025
5002355609846733,6513584274,6966,602,4,2029
4405194900150974,9268563195,6315,886,7,2027
4365921811900,8310817420,5329,909,8,2024
4026789584672166,9323624755,3792,932,9,2030
4041378518690,9658364410,6357,842,4,2027
4026043383642834,5310145260,3601,860,4,2030
5010125534008919,9782655090,9760,937,6,2026
4041597464387,9086874634,6351,568,11,2026
4175003890705077,8902294528,3281,898,6,2023
4175004124696777,7687608350,8626,752,4,2023
5100140448745432,6283274546,5325,702,10,2028
4405151751200944,9684040575,1174,882,8,2025
5100132065308248,6473440927,8201,607,7,2027
4844258837272448,6554724046,7168,759,1,2023
4844214378337827,9553009466,2789,649,9,2028
5100136584701387,6454337034,8243,909,6,2028
4041378564863747,8209341679,5652,594,10,2024
4917753119004891,6188259238,3410,622,5,2030
4175007085904148,6997448322,9840,573,7,2023
5007660362269824,9757079234,8519,841,11,2030
4041596920691540,5524372510,6763,748,6,2028
4508632811617892,6425439466,5899,725,8,2028
4017954965547,6267937725,9267,745,9,2023
4405462664031312,9814915320,8220,846,12,2028
4041378122685459,8276260554,1752,723,9,2024
5002357085491935,9381559857,6157,699,3,2029
4175009127756320,9272090168,6476,858,2,2026
4017953087502467,7591283574,2417,565,2,2028
4041377403266,7885279626,7614,772,1,2026
5231236915521710,7120374191,6675,778,10,2025
4017956740161,7930615224,2496,846,9,2029
5010125881127106,7127040171,6439,899,9,2026
5449849903410783,7632480627,4030,960,2,2029
4937883185943239,8513708600,4833,573,5,2028
4041376904305718,7817129414,6039,897,8,2025
4844843242661747,8700798506,2053,705,7,2025
5100171405861102,7992494424,7136,682,9,2026
4917406880965119,6387876824,3171,646,5,2023
4041595358995,7434746403,4431,971,4,2027
4917071747770472,7831880161,9840,596,10,2026
4017953914553,7874155590,4975,712,12,2023
4913639350530724,8072726742,2758,600,1,2029
4017952219988,5816772750,2513,604,2,2026
5100147238277716,5836656768,4407,783,7,2029
4917315672379407,8240581469,1538,886,4,2030
4844684501853348,8010641027,2296,580,10,2023
4175003850296901,6460697940,5584,954,3,2028
4917707498874308,6094786154,5513,697,3,2028
4175000409788081,8374139092,5281,882,9,2029
4508880811019656,5656222883,9052,838,6,2024
4844414893854906,6386667928,1916,868,4,2025
4041596546325,7747327315,5791,852,11,2026
4017953354461,6217836564,8136,892,1,2026
5108757131152758,8615796368,6130,716,12,2026
5466854923645507,6680186363,2746,743,12,2026
4844036229365073,5323719392,2327,653,5,2024
4917191875496565,5605275868,6655,757,1,2029
4041370693483,9427520152,5263,805,6,2029
4026898918210492,7874679040,9746,991,2,2023
4917917216550995,7410111480,4154,679,1,2025
5409815715830169,5258043565,8644,715,11,2026
5010121147696620,9395599488,8735,741,5,2029
5010126157925215,6451554183,5922,914,1,2026
4844603735690912,7058095858,5914,574,2,2028
4508429028464766,9834127398,9128,753,1,2028
